txn_id,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
T1,TRANSFER,181.00,181.00,0.00,0.00,0.00
T2,CASH_OUT,229133.94,229133.94,0.00,0.00,229133.94
T3,TRANSFER,1500000.00,1500000.00,0.00,0.00,0.00
T4,CASH_OUT,5000.00,20000.00,15000.00,1000.00,6000.00
T5,TRANSFER,2000.00,50000.00,48000.00,10000.00,12000.00
T6,CASH_OUT,300.00,300.00,0.00,5000.00,5300.00
T7,TRANSFER,850000.00,900000.00,50000.00,0.00,0.00
T8,CASH_OUT,12000.00,60000.00,48000.00,20000.00,32000.00
T9,TRANSFER,400000.00,400000.00,0.00,100000.00,0.00
T10,CASH_OUT,7500.00,30000.00,22500.00,4000.00,11500.00
